files,train,lr,knn,dt
903_fri_c2_1000_25.csv,True,68.2,73.5,84.4
942_chscase_health.csv,True,70.0,62.0,58.0
312_scene.csv,True,88.94951590594744,86.08316044260026,91.23409405255879
887_mbagrade.csv,True,59.28571428571429,52.38095238095239,52.38095238095239
748_analcatdata_wildcat.csv,True,75.47794117647058,76.17647058823529,73.60294117647058
22_mfeat-zernike.csv,True,82.3,79.5,67.05
329_hayes-roth.csv,True,51.25,61.875,81.25
1412_lungcancer_GSE31210.csv,True,87.58893280632411,85.8695652173913,80.94861660079052
979_waveform-5000.csv,True,85.26,82.26,81.46000000000001
964_pasture.csv,True,76.66666666666666,58.33333333333333,69.16666666666666
768_fri_c3_100_25.csv,True,59.0,62.0,66.0
